
ALLOC_MEMORY alloc_memory
ASSERT_MEMORY_FAIL2X assert_memory_fail2x
ASSERT_MEMORY_FAIL3X assert_memory_fail3x
AddRef add_ref
Ai ai
AllocateLayerBuffer allocate_layer_buffer
AllocateSampleBuffer allocate_sample_buffer
AnalyzeFrameComplexityViaSad analyze_frame_complexity_via_sad
AnalyzeGomComplexityViaSad analyze_gom_complexity_via_sad
AnalyzeGomComplexityViaVar analyze_gom_complexity_via_var
Ap ap
Assign assign
AugmentingPath augmenting_path
BIT_RATE_RANGE            bit_rate_range           
BUFFER_SIZE  buffer_size 
BUF_SIZE  buf_size 
BilateralDenoiseLuma bilateral_denoise_luma
BsInfo bs_info
BuildSceneChangeDetection build_scene_change_detection
CALC_BI_STRIDE calc_bi_stride
CALL call
CHECK check
CSceneChangeDetectorVideo scene_change_detector_video
CavlcParamCal_ref cavlc_param_cal_ref
ChangeResolutionAndCheckStatistics change_resolution_and_check_statistics
CheckDecoderInterface check_decoder_interface
CheckEncoderInterface check_encoder_interface
CheckFunctionOrder check_function_order
CheckLevelLimitation check_level_limitation
CheckValid check_valid
Clear clear
Clip255 clip255
CodecUtMain codec_ut_main
CompareHash compare_hash
CompareHashAnyOf compare_hash_any_of
Computed computed
CopyTargetBlock copy_target_block
Corrupted corrupted
CreateSpecificVpInterface create_specific_vp_interface
CreateStrategy create_strategy
DEFINE_GENERAL_BILINEAR_ACCURATE_DOWNSAMPLER_WRAP define_general_bilinear_accurate_downsampler_wrap
DEFINE_GENERAL_BILINEAR_FAST_DOWNSAMPLER_WRAP define_general_bilinear_fast_downsampler_wrap
DEF_CHROMA_MCTEST def_chroma_mctest
DEF_HALFPEL_MCTESTS def_halfpel_mctests
DEF_LUMA_MCTEST def_luma_mctest
DEF_LUMA_MCTESTS def_luma_mctests
DEF_MCCOPYTEST def_mccopytest
DENOISE_ALL_COMPONENT  denoise_all_component 
DENOISE_GRAY_RADIUS  denoise_gray_radius 
DENOISE_GRAY_SIGMA   denoise_gray_sigma  
DENOISE_U_COMPONENT  denoise_u_component 
DENOISE_V_COMPONENT  denoise_v_component 
DENOISE_Y_COMPONENT  denoise_y_component 
DecEncFileParamToParamExt dec_enc_file_param_to_param_ext
Decode decode
DecodeBs decode_bs
DecodeFile decode_file
DecodeFrame decode_frame
DecodeFrame2 decode_frame2
DecodeFrameEx decode_frame_ex
DecodeFrameNoDelay decode_frame_no_delay
DecodeNextFrame decode_next_frame
DecodeParser decode_parser
Decode_m decode_m
Decode_w decode_w
DecoderBs decoder_bs
DecoderInterfaceAll decoder_interface_all
DecoderParseSyntaxTestAll decoder_parse_syntax_test_all
DecodingComplete decoding_complete
DepthFirstSearch depth_first_search
Destroy destroy
DestroyInputFrame_m destroy_input_frame_m
DestroySpecificVpInterface destroy_specific_vp_interface
DoLineTest do_line_test
DownsampleHalfAverage downsample_half_average
Drain drain
ENCODE_FRAME_NUM          encode_frame_num         
EXPAND_PIC_TEST_NUM  expand_pic_test_num 
EncDecFileParam enc_dec_file_param
EncDecOneFrame enc_dec_one_frame
EncFileParamToParamExt enc_file_param_to_param_ext
EncPic enc_pic
Encode encode
EncodeFile encode_file
EncodeFrame encode_frame
EncodeOneFrame encode_one_frame
EncodeOneFrameRandom encode_one_frame_random
EncodeOneIDRandP encode_one_id_randp
EncodeParameterSets encode_parameter_sets
EncodeStream encode_stream
Encode_m encode_m
Encode_w encode_w
EncodingComplete encoding_complete
EnsureCapacity ensure_capacity
EraseOneInList erase_one_in_list
Error error
Execute execute
ExtractDidNal extract_did_nal
FDEC_STRIDE  fdec_stride 
FENC_STRIDE  fenc_stride 
FILTER6TAP filter6tap
FRAME_RATE_RANGE          frame_rate_range         
FREE_MEMORY free_memory
FillWithRandomData fill_with_random_data
Flush flush
FlushFrame flush_frame
ForceIntraFrame force_intra_frame
FrameIn frame_in
FrameOut frame_out
FreeSampleBuffer free_sample_buffer
GENERATE_4x4_UT generate_4x4_ut
GENERATE_8x8_UT generate_8x8_ut
GENERATE_CHROMA_UT generate_chroma_ut
GENERATE_DATA_DEBLOCKING generate_data_deblocking
GENERATE_LUMA_UT generate_luma_ut
GENERATE_UT_FOR_COPY generate_ut_for_copy
GET_MB_WIDTH get_mb_width
GET_NAL_TYPE get_nal_type
GL_CRIT  gl_crit 
GL_DEBUG  gl_debug 
GL_ERROR  gl_error 
GL_INFO   gl_info  
GMPCreateMutex gmp_create_mutex
GMPGetAPI gmp_getapi
GMPInit gmp_init
GMPLOG gmplog
GMPShutdown gmp_shutdown
Gauss3x3Filter gauss3x_3filter
GenerateParam generate_param
Get get
GetBoolOffset get_bool_offset
GetBoolSize get_bool_size
GetBoolStructSize get_bool_struct_size
GetDefaultParams get_default_params
GetFrameSadExcludeBackground get_frame_sad_exclude_background
GetOption get_option
GetRandHeight get_rand_height
GetRandWidth get_rand_width
GetSceneChangeMotionRatioLarge get_scene_change_motion_ratio_large
GetSceneChangeMotionRatioMedium get_scene_change_motion_ratio_medium
GetTaskCount get_task_count
GetValidEncParamBase get_valid_enc_param_base
GomComplexityAnalysisInter gom_complexity_analysis_inter
GomComplexityAnalysisIntra gom_complexity_analysis_intra
GomSampleSad gom_sample_sad
